Source	Target
22388	171717
22388	308897
22388	515502
22388	971564
22590	138697
22869	34753
22869	99176
22869	119853
22869	121526
22869	238657
22869	994815
22875	40025
22875	90456
22875	111494
22875	126534
22875	193675
22875	693078
22993	24037
22993	29448
22993	39059
22993	40595
22993	74423
22993	107996
22993	693078
23532	29448
23532	48489
23532	209491
23532	753284
23532	1244267
24037	158567
24037	185782
24037	1100017
24037	1190964
24045	39059
24045	126391
25233	111240
25233	119853
25233	133401
25233	171396
26078	66946
26774	34753
28729	73199
29448	40595
29448	46114
29448	48489
29448	66946
29448	92107
29448	100566
29448	139591
29448	154001
31554	123637
31554	138697
31647	971564
31900	34753
31900	71805
33694	50244
33694	65423
33694	118857
33694	154001
33694	178434
33694	325343
33694	446411
33694	1459070
33731	197776
33731	1123532
37476	66946
37476	334820
38109	147446
38482	232497
38482	422026
39059	46114
39059	47116
39059	50244
39059	74423
39059	110346
39059	118857
39059	145665
39059	172349
39059	172442
39059	181775
39059	308897
39059	487840
39059	994815
39160	187064
40025	44061
40025	170872
40565	95219
40565	160104
40595	46114
40595	83297
40595	154001
40595	161174
40595	162409
40595	167957
40595	238657
40595	1350060
43446	43452
43446	86445
43446	91268
43446	99279
43446	119853
43446	1304459
43452	50244
43452	110346
43452	137320
44061	110817
44061	119853
44360	178434
44360	515502
44584	123257
44584	221934
46114	154001
46114	238657
46114	391289
46316	50244
46316	57693
46316	100566
46316	111494
46371	48489
46371	92107
46425	50244
46425	154001
46438	67945
46438	110346
46438	137320
46438	143492
46438	145665
46438	154001
46438	308897
46438	432334
46651	101401
47116	155766
47116	172349
47776	99136
48026	63763
48026	69748
48026	146609
48026	217633
48026	393668
48026	474403
48489	154001
48489	753284
48800	1003547
49729	107405
50244	61535
50244	63763
50244	68020
50244	74423
50244	86614
50244	102668
50244	107405
50244	110346
50244	111494
50244	118857
50244	135062
50244	137320
50244	140739
50244	145665
50244	147446
50244	151360
50244	154867
50244	167586
50244	176067
50244	189517
50244	193157
50244	197776
50244	221934
50244	267610
50244	291081
50244	474403
50244	478840
50244	614025
50244	668453
50244	685911
50244	697528
50244	740594
50244	853495
50244	949038
50244	1003547
50244	1250729
50244	1395628
50244	1423355
50244	1563967
50244	1621856
50891	562253
51462	162402
52018	754094
52018	1100017
52018	1106231
53007	99279
53007	145665
53007	154001
53713	99555
53713	318753
54901	57933
54901	151338
54901	155561
54901	480228
54901	761346
54901	800977
54901	885486
54901	949038
56706	99555
57693	462710
57693	1251249
57693	1254637
57693	1608175
57933	63763
57933	135062
57933	193157
57933	668453
57933	747349
57933	953192
57933	1681202
58226	160392
58565	170872
61535	69748
63697	147489
63763	69748
63763	90484
63763	147969
63763	160104
63763	163781
63763	177979
63763	292262
63763	393668
63763	747349
63763	754094
63763	853495
63763	949038
63763	1100017
63763	1386078
63763	1681202
63763	1747922
65423	91268
65423	121526
65423	408737
65423	446411
65423	867599
65423	1434310
65423	1459070
65470	76843
65470	128089
65470	157746
66338	147446
66338	154455
66946	68947
66946	129636
66946	154001
66946	668453
66946	815756
67602	369452
68020	160104
68020	168051
68020	193080
68020	754094
68020	949038
68020	1747922
69748	108566
69748	138205
69748	161301
69748	194027
69748	198448
69748	393668
69748	668453
69748	747349
69748	761346
69748	800977
69748	885486
69748	949038
69748	1557136
70557	161180
71186	147998
71186	282051
71497	118857
71497	160178
71497	216997
72507	153154
73199	291081
74151	78253
74151	134931
74423	90456
74423	99279
74423	103471
74423	107405
74423	110346
74423	111494
74423	159341
74423	308897
74423	447379
74423	478840
75485	90319
75485	1190964
76843	157746
78905	178434
78911	100566
78911	137320
78911	154867
83297	122246
83297	181775
83297	255767
83297	1128879
83510	101401
84385	167586
84385	213906
85758	90456
85758	740594
86445	91268
86445	95219
86445	99279
86614	100566
86614	108579
86614	151360
86614	498188
88562	170872
89839	1190964
90319	425082
90319	485812
90319	1190964
90319	1772109
90456	154867
90456	216958
90456	740594
90456	1306641
90484	160104
90484	195276
90484	203765
91268	187064
91268	462710
91268	867599
91268	957428
91268	1144370
92107	118857
92107	154001
92107	523581
95200	99279
95200	108579
95200	110346
95200	145665
95200	147998
95200	154001
95200	181775
95200	186066
95200	228286
95200	433467
95219	99279
95219	404620
97336	125907
99136	101401
99176	160392
99279	122246
99279	162402
99279	167632
99279	325343
99279	711174
99555	161301
99555	163314
99555	176754
100309	163314
100566	118857
100566	137320
100566	154867
100566	163878
100566	164348
100566	170141
100566	171142
100566	272736
100566	339968
101401	167586
102195	102516
102195	164348
102195	447279
102195	495744
102195	562253
102195	941264
102516	562253
102668	325343
103471	288859
104520	176754
104529	151338
104529	217705
106087	182204
107405	170872
107886	462710
108566	113895
108566	157807
108566	782925
108566	949038
109284	110891
109953	949038
110346	118857
110346	122242
110346	145665
110346	160929
110346	181775
110346	447379
110346	462272
111494	147446
111494	158121
111494	159341
111494	161301
111494	164529
111494	170141
111494	172349
111494	465969
111494	506303
112320	170872
113895	185918
113895	325343
113895	376472
118857	176067
118857	308897
118891	137758
118891	165578
118891	174490
118891	408403
119853	126391
119853	133401
119853	171396
119853	478840
121526	151360
121526	178434
121526	358352
121526	726080
121526	737651
121526	761346
121526	949038
121526	1144370
121526	1509041
122242	155959
123257	163147
123257	221934
123637	144797
123802	157807
124304	161174
124304	169366
124481	279616
125907	196453
125907	1128879
126534	478840
127088	171717
127189	288859
128081	867599
129636	815756
132451	163314
133401	171396
133401	1206573
135062	577482
137320	376722
137758	147969
137758	174490
138205	209252
138205	393668
138205	474403
138205	614025
138205	1079298
139591	156173
139898	484938
140497	668453
141262	151338
142182	323272
143492	181775
143492	193155
143492	197776
143492	228286
143492	285020
143492	308897
143492	329245
143492	338725
143492	478840
143492	708981
143492	1003547
143492	1076353
143492	1123532
143492	1505388
143492	1602733
143523	949038
144364	267610
144364	278317
144364	2055995
145665	308897
147446	172264
147446	178434
147446	187543
147446	292262
147446	949038
147489	177979
147489	257990
147489	554202
147969	198448
147969	853495
147969	1069064
147969	1106231
147969	1747922
147969	2101670
147998	298783
147998	444201
147998	1563967
149894	767005
149894	850350
149981	668453
150394	761346
150480	163781
150480	198448
150480	853495
151338	155561
151338	167922
151338	169810
151338	172532
151338	800977
151360	153154
151360	207713
151360	376722
151360	711174
151360	761346
151360	1284671
151360	1505388
151564	161180
151950	193080
151950	1188617
151950	1465973
153477	163314
154001	311494
154001	358352
154001	1430595
154867	170141
154867	395543
154867	487840
154867	708981
155201	187064
155201	616235
155561	800977
155561	1105853
155561	1557136
155561	1613961
156099	185782
156173	161174
157477	539103
157477	761346
157746	170872
157807	163314
157807	176754
157807	346177
158121	219960
158567	474403
158567	1100017
158567	1105853
159174	1489002
159341	465969
160080	163314
160104	163781
160104	194138
160104	754094
160104	800977
160104	1100017
160104	1105853
160178	269999
160638	169627
160929	1831044
161174	167957
161174	168653
161180	203765
161301	163314
161301	202542
161301	288859
161301	447279
161301	506303
161301	723046
161301	761346
161301	1419088
161337	216958
161337	221934
162402	185918
163130	170366
163130	761346
163314	184524
163314	323272
163314	376722
163314	761346
163781	193157
163781	198448
163781	754094
163781	853495
163781	1251249
164348	495744
164524	193080
164524	221968
164524	1188617
164524	1251249
164542	788585
165089	257990
166344	761346
166874	227647
167075	298783
167632	221934
167632	446415
167632	860307
167922	761346
167957	168653
168051	761346
169165	198448
169366	181775
169627	1140592
170141	478840
170366	216997
170366	761346
171142	603790
171290	182392
171290	349426
171290	539103
171290	737651
171290	753460
171290	1276864
171290	1638060
171396	761346
171717	971564
171813	177835
171813	182392
171813	394475
171813	1353023
172349	465969
172442	319158
172442	1608175
172532	665461
172532	825501
172532	953192
172532	1100017
172532	1363992
173521	957428
174490	185402
176067	221934
176420	193157
177216	177982
177471	957428
177835	394475
177982	1288526
178007	184676
178007	965480
178434	181775
178434	319158
178434	867599
178434	949038
178434	1621856
180717	207713
180717	1304459
181662	181775
181662	228286
181662	1003547
181775	228286
181775	271034
181775	311830
181775	478840
181930	850350
182155	462710
182204	451786
182392	219960
182392	378643
182392	753460
182392	1353023
183395	554202
184676	184718
184676	965480
185264	885652
185918	1288526
186478	267148
186478	761346
186478	1229331
186478	1558922
187543	1452149
188537	784805
189517	1413300
193080	198448
193080	1106231
193080	1188617
193080	1681202
193080	1722517
193157	195276
193157	267610
193157	614025
193157	853495
193157	1069064
193157	1106231
193157	1395628
194027	885486
194027	1105853
194928	1008732
194928	1379990
196453	1496595
197776	1123532
198448	474403
198448	1069064
198448	1106231
198448	1188617
198448	1557136
198448	2101670
201080	376722
202542	286614
202542	291081
202542	325343
202542	761346
204129	539103
204129	1638060
204129	1802852
207713	1304459
209252	474403
217633	529153
219859	708981
221934	1003547
227647	470726
228286	478840
228286	1003547
228286	1621856
231315	232497
231315	422026
232497	1713676
236003	1069064
236954	1254637
238657	523581
238657	712098
238657	1350060
241335	761346
241530	666014
260306	484938
261207	1188617
267148	761346
267610	474403
267610	853495
272039	1140592
279616	1263501
285020	338725
288859	761346
289186	761346
289186	949038
292716	295517
292716	562253
295517	300045
298783	444201
298783	571217
311494	358352
311494	1430595
311830	446415
325343	723046
325343	1354919
329245	708981
358352	761346
358352	940996
378643	433467
378643	539103
378643	753460
378643	1562842
378643	1802852
393668	850350
408737	446411
408737	1434310
408737	1657626
422026	1831044
425082	1190964
433467	737651
433467	761346
433467	1100738
446411	761346
446411	1434310
446411	1459070
447279	495744
447279	562253
447279	666014
447279	867599
447279	920218
447279	941264
447279	1012469
447279	1046591
447279	1296005
447279	1898745
447379	478840
465969	506303
468922	665461
468922	702137
470726	1100738
474403	754094
474403	853495
474403	1069064
474403	1100017
474403	1106231
474403	1747922
474403	2101670
478840	740594
478840	761346
480228	885486
484938	1008732
485812	1190964
487840	711174
495744	562253
495744	1046591
513331	1370892
515502	857331
539103	657956
539103	737651
539103	753460
539103	1802852
562253	941264
562253	1046591
614025	1069064
614025	1681202
657956	737651
657956	885652
665461	815756
665461	825501
668453	815756
668453	953192
684631	761346
684631	885652
693078	761346
702137	1557136
708981	1076353
708981	1602733
737651	753460
737651	1353023
737651	1802852
740594	1306641
753460	1353023
753460	1802852
753460	2092132
754094	761346
754094	885486
754094	1105853
754094	1106231
754094	1251249
754094	1747922
761346	949038
761346	957428
761346	1557136
761346	1558922
761346	1568539
761346	1729032
782925	1562823
784805	957428
815756	953192
815756	1100017
815756	1105853
815756	1252474
853495	1105853
853495	1106231
868614	966688
885486	949038
885486	1105853
913937	1105853
934147	1379990
940996	1452949
941264	1012767
949038	995166
949038	1251249
949038	1557136
953192	1100017
953192	1105853
953192	1153879
966688	1190964
971564	1681202
1069064	1106231
1069064	1364387
1069064	1681202
1100017	1105853
1100017	1106231
1102672	1128879
1105853	1251249
1105853	1252474
1105853	1557136
1105853	1681202
1106231	1188617
1106231	2101670
1113614	1353023
1113692	1188617
1113692	1370892
1140592	1608175
1153879	1364387
1188617	1370892
1188617	1722517
1229331	1558922
1229331	1743015
1248853	1276864
1251249	1363992
1353023	1638060
1370892	1729032
1434310	1459070
1544679	1772109
1638060	1802852
1661922	1772109
